Ethnic group,Age,Year at 30 June,Sex,Value,Flags
"Total people, ethnic group","55 Years","1996","Total people, sex",37560,
"Total people, ethnic group","56 Years","1996","Total people, sex",34880,
"Total people, ethnic group","56 Years","2001","Total people, sex",39290,
"Total people, ethnic group","55 Years","2001","Total people, sex",41310,
"Total people, ethnic group","54 Years","2001","Total people, sex",49070,
"Total people, ethnic group","52 Years","2001","Total people, sex",48540,
"Total people, ethnic group","53 Years","2001","Total people, sex",48790,
"Total people, ethnic group","51 Years","2001","Total people, sex",49390,
"Total people, ethnic group","50 Years","2001","Total people, sex",49300,
"Total people, ethnic group","47 Years","2001","Total people, sex",52240,
"Total people, ethnic group","48 Years","2001","Total people, sex",50500,
"Total people, ethnic group","49 Years","2001","Total people, sex",50160,
"Total people, ethnic group","46 Years","2001","Total people, sex",53450,
"Total people, ethnic group","44 Years","2001","Total people, sex",56380,
"Total people, ethnic group","45 Years","2001","Total people, sex",55330,
"Total people, ethnic group","43 Years","2001","Total people, sex",57140,
"Total people, ethnic group","42 Years","2001","Total people, sex",59930,
"Total people, ethnic group","39 Years","2001","Total people, sex",63740,
"Total people, ethnic group","40 Years","2001","Total people, sex",62750,
"Total people, ethnic group","41 Years","2001","Total people, sex",60690,
"Total people, ethnic group","38 Years","2001","Total people, sex",63210,
"Total people, ethnic group","36 Years","2001","Total people, sex",59510,
"Total people, ethnic group","37 Years","2001","Total people, sex",61880,
"Total people, ethnic group","35 Years","2001","Total people, sex",58340,
"Total people, ethnic group","34 Years","2001","Total people, sex",58650,
"Total people, ethnic group","31 Years","2001","Total people, sex",57920,
"Total people, ethnic group","32 Years","2001","Total people, sex",58440,
"Total people, ethnic group","33 Years","2001","Total people, sex",58300,
"Total people, ethnic group","30 Years","2001","Total people, sex",58330,
"Total people, ethnic group","29 Years","2001","Total people, sex",56530,
"Total people, ethnic group","29 Years","2006","Total people, sex",51670,
"Total people, ethnic group","30 Years","2006","Total people, sex",52260,
"Total people, ethnic group","31 Years","2006","Total people, sex",54790,
"Total people, ethnic group","32 Years","2006","Total people, sex",57040,
"Total people, ethnic group","33 Years","2006","Total people, sex",59510,
"Total people, ethnic group","34 Years","2006","Total people, sex",62410,
"Total people, ethnic group","35 Years","2006","Total people, sex",63500,
"Total people, ethnic group","36 Years","2006","Total people, sex",62200,
"Total people, ethnic group","37 Years","2006","Total people, sex",62910,
"Total people, ethnic group","38 Years","2006","Total people, sex",62160,
"Total people, ethnic group","39 Years","2006","Total people, sex",61790,
"Total people, ethnic group","40 Years","2006","Total people, sex",61930,
"Total people, ethnic group","41 Years","2006","Total people, sex",62810,
"Total people, ethnic group","42 Years","2006","Total people, sex",65110,
"Total people, ethnic group","43 Years","2006","Total people, sex",66360,
"Total people, ethnic group","44 Years","2006","Total people, sex",66280,
"Total people, ethnic group","45 Years","2006","Total people, sex",64990,
"Total people, ethnic group","46 Years","2006","Total people, sex",62460,
"Total people, ethnic group","47 Years","2006","Total people, sex",61450,
"Total people, ethnic group","48 Years","2006","Total people, sex",58580,
"Total people, ethnic group","49 Years","2006","Total people, sex",57680,
"Total people, ethnic group","50 Years","2006","Total people, sex",56330,
"Total people, ethnic group","51 Years","2006","Total people, sex",54100,
"Total people, ethnic group","52 Years","2006","Total people, sex",52590,
"Total people, ethnic group","53 Years","2006","Total people, sex",50670,
"Total people, ethnic group","54 Years","2006","Total people, sex",49950,
"Total people, ethnic group","55 Years","2006","Total people, sex",48930,
"Total people, ethnic group","56 Years","2006","Total people, sex",49100,
"Total people, ethnic group","56 Years","2013","Total people, sex",56170,
"Total people, ethnic group","55 Years","2013","Total people, sex",56760,
"Total people, ethnic group","54 Years","2013","Total people, sex",59720,
"Total people, ethnic group","51 Years","2013","Total people, sex",64870,
"Total people, ethnic group","52 Years","2013","Total people, sex",63340,
"Total people, ethnic group","53 Years","2013","Total people, sex",60740,
"Total people, ethnic group","50 Years","2013","Total people, sex",64990,
"Total people, ethnic group","48 Years","2013","Total people, sex",61970,
"Total people, ethnic group","49 Years","2013","Total people, sex",64060,
"Total people, ethnic group","47 Years","2013","Total people, sex",61470,
"Total people, ethnic group","46 Years","2013","Total people, sex",61920,
"Total people, ethnic group","43 Years","2013","Total people, sex",63060,
"Total people, ethnic group","44 Years","2013","Total people, sex",63440,
"Total people, ethnic group","45 Years","2013","Total people, sex",62580,
"Total people, ethnic group","42 Years","2013","Total people, sex",64890,
"Total people, ethnic group","40 Years","2013","Total people, sex",61370,
"Total people, ethnic group","41 Years","2013","Total people, sex",63820,
"Total people, ethnic group","39 Years","2013","Total people, sex",59190,
"Total people, ethnic group","38 Years","2013","Total people, sex",56640,
"Total people, ethnic group","35 Years","2013","Total people, sex",52600,
